CaseId,Activity,Timestamp
76561198193185967,RTFM,2020-02-08 15:15:56
76561198193185967,BUSY_LOOP,2020-02-08 15:38:58
76561198193185967,PARALLELIZE,2020-02-08 15:34:06
76561198193185967,UNCONDITIONAL,2020-02-08 16:00:59
76561198193185967,NO_BACKUP,2020-07-29 18:25:02
76561198193185967,HALT_AND_CATCH_FIRE,2020-02-08 16:04:30
76561198087027401,RTFM,2018-06-30 17:12:16
76561198087027401,BUSY_LOOP,2020-07-26 11:11:11
76561198087027401,PARALLELIZE,2020-07-26 11:14:47
76561198087027401,UNCONDITIONAL,2020-07-26 00:26:54
76561198087027401,NO_BACKUP,2020-07-26 11:59:25
76561198087027401,NO_MEMORY,2020-07-26 12:58:17
76561198087027401,HALT_AND_CATCH_FIRE,2020-07-26 13:48:35
76561198087027401,ILLEGAL_EAGLE,2020-07-26 13:55:46
76561198027480908,RTFM,2020-07-12 20:28:47
76561198027480908,PARALLELIZE,2020-07-12 20:27:12
76561198027480908,UNCONDITIONAL,2020-07-14 16:08:48
76561197999191936,RTFM,2015-11-30 11:37:22
76561197999191936,BUSY_LOOP,2015-11-30 11:51:35
76561197999191936,PARALLELIZE,2015-11-30 11:58:07
76561197999191936,NO_BACKUP,2015-11-30 17:45:38
76561197999191936,HALT_AND_CATCH_FIRE,2015-11-30 17:38:41
76561197999191936,ILLEGAL_EAGLE,2020-01-09 21:23:11
76561197999191936,100_PERCENT_V1,2020-01-05 17:31:18
76561198330935885,RTFM,2020-07-10 12:53:40
76561198330935885,BUSY_LOOP,2020-07-10 13:06:17
76561198330935885,PARALLELIZE,2020-07-10 13:14:06
76561198330935885,UNCONDITIONAL,2020-07-10 13:32:23
76561198330935885,NO_BACKUP,2020-07-10 14:22:35
76561198330935885,NO_MEMORY,2020-07-10 15:43:30
76561198164146683,RTFM,2020-03-08 04:26:30
76561197983599308,RTFM,2015-07-28 00:19:58
76561197983599308,BUSY_LOOP,2015-07-28 16:07:05
76561197983599308,PARALLELIZE,2015-07-28 14:43:16
76561197983599308,UNCONDITIONAL,2015-07-28 16:24:45
76561197983599308,NO_BACKUP,2015-07-29 16:53:51
76561197983599308,HALT_AND_CATCH_FIRE,2020-07-12 15:16:22
76561197983599308,100_PERCENT_V1,2020-07-13 16:02:30
76561198359583661,RTFM,2018-02-16 21:12:48
76561198359583661,BUSY_LOOP,2020-07-10 18:55:53
76561198359583661,PARALLELIZE,2020-07-10 18:40:15
76561198359583661,HALT_AND_CATCH_FIRE,2020-07-10 19:19:43
76561198118265951,RTFM,2015-07-13 02:57:33
76561198118265951,BUSY_LOOP,2015-07-13 03:07:15
76561198118265951,PARALLELIZE,2015-07-14 03:24:09
76561198118265951,UNCONDITIONAL,2015-07-14 03:39:27
76561198118265951,NO_BACKUP,2016-07-04 20:07:15
76561198118265951,NO_MEMORY,2016-07-04 20:32:32
76561198118265951,HALT_AND_CATCH_FIRE,2015-07-15 19:57:49
76561198118265951,ILLEGAL_EAGLE,2016-07-04 02:25:58
76561198118265951,100_PERCENT_V1,2016-07-04 02:26:41
76561198096992837,RTFM,2018-10-11 20:20:41
76561198096992837,BUSY_LOOP,2018-10-15 03:50:39
76561198096992837,PARALLELIZE,2018-10-11 20:57:35
76561198096992837,UNCONDITIONAL,2018-10-15 03:33:30
76561198096992837,NO_BACKUP,2018-10-15 04:13:45
76561198096992837,HALT_AND_CATCH_FIRE,2019-06-17 21:43:25
76561198096992837,ILLEGAL_EAGLE,2019-11-06 11:45:31
76561197962842364,RTFM,2020-04-09 02:20:45
76561197962842364,BUSY_LOOP,2020-07-17 04:17:37
76561197962842364,PARALLELIZE,2020-04-09 02:26:59
76561197962842364,HALT_AND_CATCH_FIRE,2020-04-17 00:48:37
76561197962842364,100_PERCENT_V1,2020-07-17 04:04:25
76561198054667933,RTFM,2020-06-28 04:21:03
76561198054667933,PARALLELIZE,2021-01-17 01:35:10
76561198054667933,UNCONDITIONAL,2021-01-17 02:12:22
76561198292338367,RTFM,2020-06-26 02:12:14
76561198005576553,RTFM,2016-07-02 21:56:52
